"Block","Order","Block.1","Position","ML","Leaf.Number","Comment","Trt","Comp","Combos","Population","Species"
"1",31,1,"31A","PA4.11Ip",5,"","Inter","PA 4.15 Ihed","PA 4.11 Ip-PA 4.15 Ihed","PA4","Ip"
"1",31,1,"31A","PA4.15Ihed",14,"","Inter","PA 4.11 Ip","PA 4.11 Ip-PA 4.15 Ihed","PA4","Ihed"
"1",33,1,"33","PA4.17Ip",12,"","Inter","PA 4.9 Ihed","PA 4.17 Ip-PA 4.9 Ihed","PA4","Ip"
"1",33,1,"33","PA4.9Ihed",13,"","Inter","PA 4.17 Ip","PA 4.17 Ip-PA 4.9 Ihed","PA4","Ihed"
"1",33,1,"33A","PA4.13Ip",8,"","Inter","PA 4.2 Ihed","PA 4.13 Ip-PA 4.2 Ihed","PA4","Ip"
"1",33,1,"33A","PA4.2Ihed",15,"","Inter","PA 4.13 Ip","PA 4.13 Ip-PA 4.2 Ihed","PA4","Ihed"
"1",35,1,"35","PA4.18Ip",14,"","Inter","PA 4.3 Ihed","PA 4.18 Ip-PA 4.3 Ihed","PA4","Ip"
"1",35,1,"35","PA4.3Ihed",14,"","Inter","PA 4.18 Ip","PA 4.18 Ip-PA 4.3 Ihed","PA4","Ihed"
"1",35,1,"35A","PA4.2Ip",8,"","Inter","PA 4.15 Ihed","PA 4.2 Ip-PA 4.15 Ihed","PA4","Ip"
"1",35,1,"35A","PA4.15Ihed",8,"","Inter","PA 4.2 Ip","PA 4.2 Ip-PA 4.15 Ihed","PA4","Ihed"
"1",36,1,"36","PA4.1Ip",6,"","Inter","PA 4.7 Ihed","PA 4.1 Ip-PA 4.7 Ihed","PA4","Ip"
"1",36,1,"36","PA4.7Ihed",15,"","Inter","PA 4.1 Ip","PA 4.1 Ip-PA 4.7 Ihed","PA4","Ihed"
"1",37,1,"37A","PA4.17Ip",8,"","Inter","PA 4.2 Ihed","PA 4.17 Ip-PA 4.2 Ihed","PA4","Ip"
"1",37,1,"37A","PA4.2Ihed",14,"","Inter","PA 4.17 Ip","PA 4.17 Ip-PA 4.2 Ihed","PA4","Ihed"
"1",38,1,"38","PA4.18Ip",8,"","Inter","PA 4.12 Ihed","PA 4.18 Ip-PA 4.12 Ihed","PA4","Ip"
"1",38,1,"38","PA4.12Ihed",19,"","Inter","PA 4.18 Ip","PA 4.18 Ip-PA 4.12 Ihed","PA4","Ihed"
"1",39,1,"39","PA4.11Ip",9,"","Inter","PA 4.3 Ihed","PA 4.11 Ip-PA 4.3 Ihed","PA4","Ip"
"1",39,1,"39","PA4.3Ihed",9,"","Inter","PA 4.11 Ip","PA 4.11 Ip-PA 4.3 Ihed","PA4","Ihed"
"1",40,1,"40","PA4.14Ip",8,"","Inter","PA 4.7 Ihed","PA 4.14 Ip-PA 4.7 Ihed","PA4","Ip"
"1",40,1,"40","PA4.7Ihed",8,"","Inter","PA 4.14 Ip","PA 4.14 Ip-PA 4.7 Ihed","PA4","Ihed"
"1",41,1,"41","PA4.17Ip",7,"","Inter","PA 4.7 Ihed","PA 4.17 Ip-PA 4.7 Ihed","PA4","Ip"
"1",41,1,"41","PA4.7Ihed",15,"","Inter","PA 4.17 Ip","PA 4.17 Ip-PA 4.7 Ihed","PA4","Ihed"
"1",41,1,"41A","PA4.15Ip",11,"","Inter","PA 4.15 Ihed","PA 4.15 Ip-PA 4.15 Ihed","PA4","Ip"
